vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,2478,656.186037126715,374.584137726261,661.5,657.457157258065,481.1037,1,1296,1295,-0.0238252724720497,-1.20234652314421,7.52486532492396
2,2478,1.48991121872478,0.499999103942725,1,1.48739919354839,0,1,2,1,0.0403389120316199,-1.99917905488958,0.010044274545606
3,2478,183.386642453592,176.99539831468,125,166.723336693548,174.9468,0,619,619,0.579891564223088,-1.14071338491641,3.55558711998249
4,2478,37.7150373284907,39.6060607960766,21.625,32.8310735887097,31.1346,0,138.375,138.375,0.774349600430911,-0.776753602994156,0.795629722471117
5,2478,0,0,0,0,0,0,0,0,,,0
6,2478,2.23849878934625,1.32227083751468,2.1,2.0632560483871,1.03782,0,14.5,14.5,1.78885182789907,6.17614836482936,0.0265625502344245
7,2478,1.43787357315808,0.905966002315384,1.4,1.33385512672811,0.8339625,0,7.35,7.35,1.72423735845384,5.77972813792406,0.0181995751282051
8,2478,0.783373688458434,0.673356788440986,0.7,0.696875,0.59304,0,6.8,6.8,2.45998118314805,11.8917776457182,0.0135267851420461
9,2478,4.56884584342212,2.7269491145231,3.75,4.1101310483871,1.70499,0,23.5,23.5,1.85932341479258,4.34215497393747,0.054780549329354
10,2478,3.07639081056151,1.84554600645786,2.71875,2.76385278657834,1.17681375,0,18.975,18.975,2.36380025895041,8.44892386002126,0.037074407992405
11,2478,1.8773607748184,1.39431626975369,1.6,1.6616935483871,0.88956,0,16.6,16.6,3.06769449584818,15.6635121043431,0.0280098410304663
12,2478,0.132980225988701,0.464975875729619,0,0.0163306451612903,0,0,4.8375,4.8375,5.42794728097089,36.0451461672187,0.00934070744544149
13,2478,1.08926553672316,3.52957825722999,0,0.196572580645161,0,0,38.5,38.5,5.33180099227437,36.4082207441129,0.0709042331601473
14,2478,999.986844229217,18.2426962740806,1001.1,999.990171370968,24.83355,951.9,1039.6,87.6999999999999,-0.019521924459066,-1.40908331240612,0.36646995641408
15,2478,999.04941600369,18.2744087817161,999.88125,999.073577548963,24.9076799999999,947.2625,1038.6375,91.375,-0.0221555302602366,-1.38512496257131,0.367107015822206
16,2478,998.376674737692,18.3109770912055,999,998.412600806452,24.9076799999999,942.1,1038,95.9,-0.0251794895435261,-1.36154492828864,0.367841621419064
17,2478,83.0007263922518,12.8599257473396,86.2,84.5773185483871,11.71254,28.5,100,71.5,-1.07674270685315,0.818674706871858,0.258337712655546
18,2478,77.8479838291249,14.2890565561386,80.06875,79.1636927563364,15.0298575,26.6,99.7125,73.1125,-0.75479066756889,0.0273182298696453,0.287046928516073
19,2478,70.2548426150121,16.8587053314785,71.2,71.1465725806452,19.79271,16.8,99.1,82.3,-0.381577327369638,-0.652254676145584,0.338667536596704
20,2478,4.71920903954802,7.2953274666783,4.8,4.63235887096774,7.70952,-14.3,52.4,66.7,0.6134223827457,3.33438977018321,0.146552806590252
21,2478,3.56021921480457,7.01582243303267,3.725,3.51013014832949,7.3203375,-14.75,52.4,67.15,0.70817416955065,4.54947381151411,0.140937945938147
22,2478,2.76533494753834,7.01347777622193,2.9,2.72258064516129,7.413,-15.1,52.4,67.5,0.742737785145288,4.89867711828247,0.140890845100293
23,2478,13.3326876513317,8.04739122768076,13.6,13.3650201612903,8.8956,-7.9,33.9,41.8,-0.0455901266807301,-0.725683842851778,0.161660703447953
24,2478,11.6128898593336,7.30229175811593,11.925,11.7246930803571,8.1728325,-9.675,28.8375,38.5125,-0.146217980002735,-0.713218518931156,0.146692709351404
25,2478,10.5355528652139,7.06534520482707,10.95,10.6633064516129,7.93191,-10.8,27.7,38.5,-0.169373686842941,-0.713554553859755,0.141932788353343
26,2478,22.7140435835351,13.7183005064822,19.35,20.6838709677419,9.56277,-0.2,114.9,115.1,2.08861261748451,6.68462715747002,0.27558124704563
27,2478,88.0670581113802,35.8966781165,88.05,88.3358215725806,36.24957,0.6,210.25,209.65,-0.0153665706396211,-0.144467998408729,0.721113472872695
28,2478,1.9862792574657,0.635872049967355,2,1.9773185483871,0,1,4,3,0.114944687997578,-0.193678896896011,0.0127737697835576
29,2477,1.1312071053694,0.337694891228415,1,1.0393343419062,0,1,2,1,2.18329632629094,2.76790077805137,0.00678518178011237
30,2478,2014.47417271994,1.16118197651797,2014,2014.46774193548,1.4826,2013,2016,3,0.0911969778716795,-1.44995856135781,0.0233265029428772
31,2478,6.17070217917676,3.36458994138079,6,6.11189516129032,4.4478,1,12,11,0.131916631405769,-1.11531289282854,0.0675898513379823
32,2478,6.17070217917676,3.36458994138079,6,6.11189516129032,4.4478,1,12,11,0.131916631405769,-1.11531289282854,0.0675898513379823
33,2478,,,,,,Inf,-Inf,-Inf,,,
34,2478,183.386642453592,176.99539831468,125,166.723336693548,174.9468,0,619,619,0.579891564223088,-1.14071338491641,3.55558711998249
35,2478,1.61016949152542,1.11781617953433,1.29999999999995,1.43729838709677,0.7413,0.100000000000023,13.2,13.1,2.32001769040237,10.4117719404849,0.0224553454400778
36,2478,12.7458837772397,8.29002038813777,11.45,12.0255040322581,8.96973,0.299999999999997,58.6,58.3,0.796931594604347,0.533941774814199,0.166534779983657
37,2478,1.95387409200969,1.23132604566353,1.7,1.81885080645161,1.18608,0,9.4,9.4,1.23258402584385,2.5729772371883,0.0247355980446251
38,2478,2.79713478611784,1.86707330327839,2.4,2.61819556451613,1.92738,0.0999999999999996,9.6,9.5,0.766408531057755,-0.121864178925947,0.0375068609263906
